Leetcode Id	Name	Difficulty	Frequency	Link	Hardness rating	Answer	Complexity
616	Add Bold Tag in String [group words to be bolded]	Medium	35.00%	https://leetcode.com/problems/add-bold-tag-in-string/description/	4	bool[] to track if each char is in word. for each word, start=0;star!=-1;start=s.find(w, start) => mark the indices as true. With that reconstruct	O(m⋅(nk * (n-k))) time as find is nk * (n-k)
658	Find K Closest Elements [to a target x]	Medium	35.00%	https://leetcode.com/problems/find-k-closest-elements	6	Just find left [0, len-k]. if num[mid] is closer than num[mid+k] => move right else move left	log(n-k) + k time, 1 space
695	Max Area of Island	Medium	35.00%	https://leetcode.com/problems/max-area-of-island	1	BFS	m*n space
825	Friends Of Appropriate Ages	Medium	35.00%	https://leetcode.com/problems/friends-of-appropriate-ages/description/	4	Nice. Use counting sort because of the constraint. Init count[age]=1; res += countA*countB, if same age res -= countA	age^2*N time, age^2 space
958	Check Completeness of a Binary Tree	Medium	35.00%	https://leetcode.com/problems/check-completeness-of-a-binary-tree	3	Bfs, each level isNullNodeFound? if found before a valid node return false	n space
1060	Missing Element in Sorted Array	Medium	35.00%	https://leetcode.com/problems/missing-element-in-sorted-array	5	Nice binary search using offsets. Answer is left + k + offset num[0]. mid -> ceil not floor. right=mid-1, left=mid	1 space
1209	Remove All Adjacent Duplicates in String II	Medium	35.00%	https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii	4	stack(char, count). Append if not match with prev, else ++top. Top==k pop. Build res from stack	n space
1344	Angle Between Hands of a Clock	Medium	35.00%	https://leetcode.com/problems/angle-between-hands-of-a-clock	3	allHours*d - allMinutes*d. Convert minutes to hours /60. hours % 12	1 space
1428	Leftmost Column with at Least a One [row-sorted binary matrix binaryMatrix]	Medium	35.00%	https://leetcode.com/problems/leftmost-column-with-at-least-a-one/description/	5	topRight to dig down. leftOn1, downOn0. Don't complicate while r<rows && col >= 0	n time, 1 space
8	String to Integer (atoi)	Medium	25.00%	https://leetcode.com/problems/string-to-integer-atoi	3	Python doesn't have overflow, keep it simple use long.	n time, 1 space
16	3Sum Closest [3 ints closest to target]	Medium	25.00%	https://leetcode.com/problems/3sum-closest	7	Sort. Fix two numbers and use binary search to find the third number closest to the remaining target.Track the minimum absolute difference between the triplet sum and the target, updating the result accordingly	n^2 logn time, logn to n space
17	Letter Combinations of a Phone Number	Medium	25.00%	https://leetcode.com/problems/letter-combinations-of-a-phone-number	5	Pop after backtrack. O(4^N * N). Space N	n space
